"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
1.74780837979927e-50,1.61861410351962,0.922,0.419,2.70770474198503e-46,"Th17","IL9"
9.46485006452144e-22,0.675509306704343,0.97,0.841,1.46629457199566e-17,"Th17","TYMP"
2.72691714528321e-21,0.629378310490583,1,0.997,4.22454004147274e-17,"Th17","S100A6"
1.16621317479262e-20,0.503067942600805,0.996,0.993,1.80669745038873e-16,"Th17","S100A11"
3.3127684393358e-20,0.925675642181828,0.621,0.376,5.13214086621902e-16,"Th17","ETS2"
2.25282531408066e-19,0.513799634629967,0.439,0.175,3.49007697657376e-15,"Th17","DHRS2"
7.9972009350776e-18,0.428494465982153,0.944,0.893,1.23892636886222e-13,"Th17","FLOT1"
1.84647632390873e-15,-0.348833321638469,1,1,2.86056112099941e-11,"Th17","RPS6"
6.9808500484923e-15,0.374077121207646,1,0.993,1.08147328951243e-10,"Th17","CALM1"
8.19402555794612e-15,0.555996731470557,0.885,0.737,1.26941843943701e-10,"Th17","JUN"
1.17080916054203e-14,0.608679259077896,0.989,0.977,1.81381755151171e-10,"Th17","VIM"
2.54376322059464e-14,-0.272859667570363,1,1,3.94079798134522e-10,"Th17","RPS27A"
4.74140433315377e-14,0.387036700382259,0.981,0.934,7.34538359292182e-10,"Th17","PLP2"
5.03519150437207e-14,-0.241394793641993,1,1,7.80051867857321e-10,"Th17","RPS29"
9.74509126165004e-14,0.381267018483288,0.959,0.918,1.50970953825482e-09,"Th17","OCIAD2"
1.07771913071711e-13,0.555239481534265,1,0.985,1.66960247730694e-09,"Th17","ISG15"
2.60798729611921e-13,-0.352178241995105,1,1,4.04029391914788e-09,"Th17","RPL4"
3.53626857484596e-13,-0.422343623503908,0.725,0.847,5.47838727615136e-09,"Th17","EIF4B"
4.44553810745903e-13,-0.354677133825554,1,1,6.88702763607554e-09,"Th17","RPL7"
5.69154484935682e-13,-0.369861188226859,1,0.997,8.81734128062358e-09,"Th17","RPL5"
1.92901767190332e-12,0.183657431639629,0.23,0.073,2.98843417731262e-08,"Th17","S100A2"
3.05148757938019e-12,-0.327276301442724,1,0.999,4.72736455797579e-08,"Th17","RPS24"
4.87955190069386e-12,-0.296494301254452,1,1,7.55940180455492e-08,"Th17","RPS17"
5.07133829701405e-12,0.780810526931958,0.68,0.502,7.85651728973417e-08,"Th17","TIMP1"
6.1924686374178e-12,0.626935013083407,0.914,0.804,9.59337241308766e-08,"Th17","RGCC"
6.86080080063556e-12,-0.3218015153663,0.836,0.914,1.06287526003446e-07,"Th17","AC090498.1"
1.87951446918138e-11,-0.219086966092547,1,1,2.91174381565579e-07,"Th17","RPL15"
2.49963055723438e-11,0.291620264455754,0.48,0.289,3.8724276592675e-07,"Th17","ZNRF1"
3.03031856996569e-11,-0.294527463451781,1,1,4.69456952859085e-07,"Th17","RPL3"
3.17055980575361e-11,-0.232838732789061,1,1,4.9118312510735e-07,"Th17","RPS27"
3.92395719754878e-11,-0.605071656902068,0.171,0.39,6.07899449044258e-07,"Th17","AC092580.4"
3.9732632986378e-11,0.427331333420214,0.985,0.949,6.15537950224967e-07,"Th17","ISG20"
4.7255370605442e-11,0.696717044024159,0.416,0.216,7.32080201419508e-07,"Th17","CTSL"
7.10471648096106e-11,0.355575044405652,0.985,0.959,1.10066267723049e-06,"Th17","TAGLN2"
1.0214996114096e-10,-0.215147608803166,1,1,1.58250719799575e-06,"Th17","RPS28"
1.86682509334159e-10,0.546366444417247,0.9,0.789,2.89208543460479e-06,"Th17","ZBED2"
2.23719804412496e-10,-0.261788767227349,1,1,3.46586720995839e-06,"Th17","RPS8"
2.33239994601712e-10,-0.23638572843153,1,1,3.61335399636972e-06,"Th17","RPS7"
2.59224452807126e-10,0.486390144010007,0.911,0.874,4.015905222888e-06,"Th17","CXCR4"
2.8513108688296e-10,0.420696252772286,0.97,0.956,4.41725079799082e-06,"Th17","GSTO1"
3.81530709562669e-10,-0.328606736419488,0.974,0.989,5.91067375254487e-06,"Th17","SLC25A6"
5.27551595466257e-10,0.213467056721958,0.279,0.119,8.17282931696326e-06,"Th17","IL1R1"
5.9681535216924e-10,0.420306154963785,1,0.995,9.24586343580587e-06,"Th17","TXN"
6.27544506496519e-10,0.485524706049205,0.914,0.815,9.72191949464408e-06,"Th17","TMEM173"
6.3663886619052e-10,-0.43136029126952,0.349,0.58,9.86280931502353e-06,"Th17","CST7"
7.89260800296376e-10,-0.293490379157086,1,1,1.22272283181915e-05,"Th17","RPS3A"
1.12364001727779e-09,-0.221297541709469,1,1,1.74074311476675e-05,"Th17","RPL10A"
1.19870869151456e-09,0.337038615943668,0.9,0.844,1.85703950489436e-05,"Th17","RABAC1"
1.41737764358811e-09,-0.207221805597978,1,1,2.19580144544669e-05,"Th17","RPL27A"
1.49406814764591e-09,0.334678235279521,0.944,0.882,2.31461037433305e-05,"Th17","ETHE1"
1.68584757617162e-09,0.331164594116613,0.963,0.885,2.61171506500507e-05,"Th17","CFLAR"
1.71736638963672e-09,-0.235274228612681,1,1,2.66054401082521e-05,"Th17","RPS4X"
1.79229483301905e-09,-0.283260977196044,0.996,0.999,2.77662315531312e-05,"Th17","RPL23"
1.83793162426748e-09,-0.286283283587006,1,1,2.84732367231518e-05,"Th17","RPSA"
1.93945941646569e-09,0.350669183009017,0.911,0.804,3.00461052798865e-05,"Th17","APOBEC3G"
2.79873501138682e-09,0.250700076710238,0.558,0.342,4.33580027964046e-05,"Th17","EBI3"
3.07319159981949e-09,0.382227006668901,0.665,0.495,4.76098842644035e-05,"Th17","IKZF3"
3.24777959136777e-09,-0.27002245457913,1,1,5.03146014294695e-05,"Th17","RPL6"
3.70276244949319e-09,-0.245116061459568,1,1,5.73631958675485e-05,"Th17","RPL13A"
3.83431116590961e-09,-1.01376331796573,0.833,0.904,5.94011485822716e-05,"Th17","HIST1H4C"
4.36842156195824e-09,0.268854749505171,0.48,0.272,6.7675586837857e-05,"Th17","FUT7"
4.61721928114412e-09,0.287359067523933,0.959,0.852,7.15299611034847e-05,"Th17","IRF7"
4.97419615804428e-09,-0.14641666127506,0.011,0.138,7.70602468804219e-05,"Th17","RP11-305L7.1"
5.12393671895468e-09,0.658251317081264,0.784,0.674,7.93800276500459e-05,"Th17","BATF3"
6.30129105445405e-09,0.311252946342806,1,1,9.76196010156021e-05,"Th17","TMSB4X"
6.60066784691546e-09,0.257754314970439,1,0.997,0.000102257546284414,"Th17","MYL12B"
6.65434312595744e-09,-0.277224904752534,1,1,0.000103089083707333,"Th17","RPLP0"
6.88342816978744e-09,-0.214869356836177,1,1,0.000106638069206347,"Th17","RPL37A"
7.50530548488218e-09,0.251803612159446,0.628,0.439,0.000116272192571795,"Th17","STRIP2"
8.61614408982892e-09,-0.372475098896224,0.078,0.238,0.00013348130423963,"Th17","PLAC8"
8.61782796883497e-09,0.254363558675669,0.494,0.295,0.000133507390893191,"Th17","IL1R2"
9.55518605535409e-09,0.309638962420541,0.955,0.917,0.000148028942369546,"Th17","ARID5A"
1.04369347681369e-08,0.279970329005055,0.156,0.048,0.000161688993427978,"Th17","CLIC3"
1.1560014143969e-08,-0.246413342438077,1,1,0.000179087739118367,"Th17","RPS3"
1.28254259241082e-08,0.420263355642712,0.978,0.929,0.000198691498416284,"Th17","IFI6"
1.41635025016454e-08,-0.205642283792266,0.996,0.999,0.00021942098075549,"Th17","RPL22"
1.60177844270901e-08,0.239566084409783,1,1,0.00024814751634448,"Th17","H3F3B"
1.61098130790895e-08,-0.25648691634476,0.989,0.99,0.000249573224221254,"Th17","NAP1L1"
1.62433300548622e-08,-0.13107443874227,0.033,0.171,0.000251641669209925,"Th17","SLC35F3"
1.64799211670038e-08,0.399503918070617,0.751,0.602,0.000255306938719223,"Th17","TSHZ2"
1.85973435225797e-08,0.173376381187523,0.364,0.198,0.000288110045851805,"Th17","PITPNC1"
1.92691398274811e-08,-0.173968833091179,1,1,0.000298517514207337,"Th17","RPL36"
2.04015042869917e-08,0.279249849046552,1,0.999,0.000316060104414075,"Th17","MYL12A"
2.04940609368371e-08,-0.303764804876296,0.825,0.889,0.00031749399203348,"Th17","EIF3L"
2.34829376398007e-08,0.225134558692597,0.532,0.358,0.000363797669915792,"Th17","AHCYL2"
2.65398880268948e-08,0.287133800194759,0.19,0.07,0.000411155945312654,"Th17","RCAN2"
2.91694577905516e-08,0.324554761998421,0.632,0.443,0.000451893240091226,"Th17","MIAT"
2.96774036929877e-08,0.33131260252679,0.974,0.929,0.000459762338011766,"Th17","LAT"
3.04532139111569e-08,-0.298102289787798,0.989,0.993,0.000471781189911643,"Th17","EEF1B2"
3.3231013020911e-08,-0.226087843427027,1,1,0.000514814853719953,"Th17","RPS23"
3.50664652937959e-08,-0.206521076108625,0.007,0.119,0.000543249680331486,"Th17","PTGER2"
3.9801780717218e-08,0.32690036595153,0.725,0.577,0.000616609186871141,"Th17","APOBEC3H"
5.07260247418248e-08,0.167485361953531,0.327,0.174,0.000785847575300351,"Th17","ABTB1"
5.61154876885601e-08,0.417499619049182,0.699,0.595,0.000869341135271173,"Th17","ATP6V1D"
6.30955069670124e-08,-0.257015415303533,1,1,0.000977475593932956,"Th17","NPM1"
6.61667926269598e-08,-0.192036179447284,1,1,0.00102505595137686,"Th17","RPS13"
6.78947054844738e-08,0.199813132455561,0.985,0.966,0.00105182477736547,"Th17","PRDX5"
6.8576615924827e-08,-0.17946059857425,1,1,0.00106238893390742,"Th17","RPL8"
8.14955788662173e-08,0.390788615924552,0.283,0.142,0.00126252950779544,"Th17","NSG1"
9.20926965066041e-08,0.170339019884575,0.145,0.047,0.00142670005428031,"Th17","CCNA1"
9.47851459062384e-08,0.324120374546621,0.42,0.263,0.00146841148037945,"Th17","CD200"
9.52348665977846e-08,0.28799312906782,0.777,0.629,0.00147537855333288,"Th17","UPP1"
1.15693690707065e-07,-0.264699434453129,0.993,0.993,0.00179232665643385,"Th17","EEF2"
1.17904970380657e-07,-0.187371452319356,1,1,0.00182658380113714,"Th17","RPS16"
1.61433596495368e-07,0.285539250931356,0.862,0.761,0.00250092927690623,"Th17","LGALS3"
1.6526556313603e-07,-0.231228426089585,0.368,0.55,0.00256029410410337,"Th17","TRAT1"
1.65856634403055e-07,-0.362164884909904,0.851,0.904,0.00256945098017212,"Th17","KIF2A"
1.84566109821486e-07,-0.180060354270952,1,1,0.00285929817335445,"Th17","RPL18A"
1.87413941497388e-07,-0.16875007210488,1,1,0.00290341678167753,"Th17","RPL37"
2.04915055639223e-07,0.170576717272223,0.331,0.185,0.00317454404196285,"Th17","TNFRSF12A"
2.08610467996346e-07,0.145273970203964,0.234,0.107,0.00323179337019939,"Th17","PKIG"
2.17321682015193e-07,0.231249900060587,0.833,0.736,0.00336674749777937,"Th17","FAM177A1"
2.29134834742915e-07,-0.174824098672704,1,1,0.00354975685983725,"Th17","RPL32"
2.41408712850418e-07,-0.220466608088881,1,1,0.00373990377947868,"Th17","RPS18"
2.46035994801472e-07,0.261605197786072,0.502,0.341,0.0038115896314644,"Th17","AQP3"
2.52888963142133e-07,0.228347867464789,0.758,0.594,0.00391775581699792,"Th17","LRP10"
2.68418904287108e-07,-0.155873084090408,1,1,0.00415834566521587,"Th17","RPS9"
2.69650839027792e-07,0.296198460066357,0.978,0.992,0.00417743079821856,"Th17","S100A10"
3.08982410987391e-07,-0.288594118178873,0.941,0.984,0.00478675551101666,"Th17","MIF"
3.66031089167787e-07,0.252746421560927,0.855,0.769,0.00567055363338736,"Th17","RALA"
3.78642423258396e-07,-0.357502157358354,0.948,0.975,0.00586592842111907,"Th17","HMGN2"
3.93287254403152e-07,0.12217884885595,0.264,0.129,0.00609280614521364,"Th17","SPINT1"
3.9488138595013e-07,-0.208116150513263,1,1,0.00611750243113942,"Th17","RPL21"
4.05106632496543e-07,-0.369488596347412,0.859,0.903,0.00627591195063645,"Th17","SLC25A5"
4.12474939965984e-07,0.234170199850529,0.617,0.461,0.00639006176995302,"Th17","PERP"
4.16708765403199e-07,-0.165185761870664,1,1,0.00645565219362635,"Th17","RPL11"
5.21063604556497e-07,-0.283695935655668,0.933,0.956,0.00807231736178925,"Th17","HNRNPA3"
5.34733324764283e-07,-0.276376857267104,0.967,0.982,0.00828408866724828,"Th17","RPS4Y1"
5.4168748725509e-07,0.375514902480835,0.903,0.871,0.00839182255255585,"Th17","BATF"
6.26367507348813e-07,-0.107039332215422,0.026,0.137,0.00970368542384782,"Th17","RNF157"
6.41572184509805e-07,0.26363408017694,0.766,0.698,0.00993923628242591,"Th17","PPP1R14B"
6.86299674035749e-07,-0.196865922867436,0.249,0.402,0.0106321545501618,"Th17","NCAPD2"
7.28645363827624e-07,-0.19209137834247,0.052,0.175,0.0112881739764175,"Th17","UNQ6494"
7.28868765581921e-07,-0.243176703372309,1,1,0.0112916349163951,"Th17","RPS2"
7.48076925930268e-07,-0.187772026835074,1,1,0.0115892077365117,"Th17","RPS12"
8.19458852894948e-07,0.117543365875042,0.134,0.045,0.0126950565490485,"Th17","IL21-AS1"
8.48427859781457e-07,0.213108386818347,0.926,0.858,0.0131438444037343,"Th17","RBCK1"
8.52537706263703e-07,0.257886332376379,0.907,0.833,0.0132075141454373,"Th17","PHF11"
9.76867945032754e-07,0.259691703268686,0.751,0.636,0.0151336382044474,"Th17","SPATS2L"
9.98342479171112e-07,-0.241624270581136,0.944,0.981,0.0154663216873189,"Th17","SERBP1"
1.00303587691116e-06,0.225460024053226,0.45,0.295,0.0155390318051076,"Th17","JHDM1D-AS1"
1.03074703632397e-06,0.334524614587024,0.721,0.585,0.0159683330867309,"Th17","SLAMF1"
1.04400975908441e-06,-0.145887635893592,0.056,0.176,0.0161737991877357,"Th17","HIST1H2AH"
1.07391892965385e-06,0.223459814006746,1,0.988,0.0166371520581974,"Th17","MT-ND1"
1.19397174219172e-06,0.230170302294696,0.888,0.867,0.0184970102300341,"Th17","DYNLRB1"
1.56195753719233e-06,-0.159374406172922,1,1,0.0241978461661835,"Th17","RPS20"
1.59138615884886e-06,0.192129501243425,0.58,0.446,0.0246537543728866,"Th17","PPIL1"
1.63150049752696e-06,0.232295325452889,0.914,0.873,0.0252752057076877,"Th17","PLIN2"
1.74927109824418e-06,-0.119643001739338,0.03,0.135,0.0270997078539988,"Th17","RP11-305L7.3"
1.82946389706104e-06,0.133114860290821,0.316,0.176,0.0283420546932697,"Th17","PLAUR"
1.89798662317927e-06,0.207238543872203,0.974,0.96,0.0294036087662933,"Th17","GNG5"
2.08390390223995e-06,-0.241286863036724,0.751,0.833,0.0322838392535013,"Th17","IMPDH2"
2.09660305468547e-06,-0.142666800284469,0.996,1,0.0324805745231873,"Th17","RPL35"
2.1356333611534e-06,0.294087950250204,0.892,0.871,0.0330852320309885,"Th17","CD63"
2.24219977005493e-06,-0.29076334001386,0.71,0.796,0.0347361588376909,"Th17","TMPO"
2.30504692341756e-06,0.242494272982962,0.465,0.317,0.0357097869375848,"Th17","HELZ2"
2.3500984411715e-06,0.25856574284354,0.654,0.484,0.0364077250506289,"Th17","IER3"
2.38424942452304e-06,0.260567284944361,0.743,0.609,0.0369367920847109,"Th17","MAGED2"
2.42642936122541e-06,0.184369460461504,0.591,0.435,0.0375902436641041,"Th17","NPDC1"
2.51100038403326e-06,0.179598869603003,0.487,0.33,0.0389004179494433,"Th17","CD151"
2.52950249700827e-06,1.07334574180305,0.673,0.538,0.0391870526836521,"Th17","GZMB"
2.61197183242398e-06,-0.190623192554771,0.401,0.557,0.0404646676279124,"Th17","AHCY"
2.62775211155637e-06,0.429370649631865,0.993,0.993,0.0407091357122313,"Th17","LGALS1"
2.82517032800348e-06,-0.410099745878175,0.535,0.68,0.0437675387214299,"Th17","MKI67"
3.03151715851082e-06,-0.217246861685637,0.688,0.799,0.0469642638196497,"Th17","METTL9"
3.06585297261533e-06,0.215340362837212,1,0.982,0.0474961942517567,"Th17","CD2"
3.40008158670614e-06,0.217365750004831,0.732,0.622,0.0526740639412516,"Th17","TIMM17B"
3.60548572900509e-06,0.421500874812935,0.9,0.855,0.0558561849137468,"Th17","CD7"
3.9436788632173e-06,0.264909280867525,0.855,0.802,0.0610954729489624,"Th17","CDV3"
3.99856260059382e-06,-0.14555349899032,0.331,0.516,0.0619457318083995,"Th17","ITGB7"
4.04553935537025e-06,0.209515642335143,0.651,0.508,0.062673495693396,"Th17","VOPP1"
4.16335277323758e-06,-0.279786946685162,0.401,0.554,0.0644986611629966,"Th17","BIRC5"
4.31185016512282e-06,0.194478663419883,0.974,0.982,0.0667991827580828,"Th17","DRAP1"
4.47558002637097e-06,0.217720669960152,0.234,0.12,0.069335685768539,"Th17","SCML4"
4.64375595664509e-06,-0.178693072710508,0.372,0.535,0.0719410672803458,"Th17","P4HA1"
4.79327221863085e-06,-0.178202150550221,1,0.999,0.0742573732110291,"Th17","RPS5"
5.12577212451902e-06,0.266329624863798,0.989,0.915,0.0794084617530487,"Th17","MX1"
5.12899975649659e-06,-0.233431346641545,1,1,0.0794584642276452,"Th17","ENO1"
5.18963981638934e-06,-0.190501324149613,1,1,0.0803979000355036,"Th17","RPL12"
5.35519698402552e-06,0.190719304755204,0.747,0.665,0.0829627116765234,"Th17","SMIM12"
5.43156920354382e-06,0.134137107549218,0.361,0.222,0.0841458701013009,"Th17","CCDC92"
5.59757916789133e-06,0.226569906892075,0.996,1,0.0867176964689726,"Th17","MYL6"
6.46311082806582e-06,0.20820937099063,0.729,0.613,0.100126512948396,"Th17","NRBP1"
7.26944005178508e-06,0.267517874537319,0.673,0.54,0.112618165282254,"Th17","ADAM19"
7.31176126870867e-06,-0.193613644981025,0.494,0.628,0.113273805574835,"Th17","SRPRA"
7.3906419351542e-06,0.202476965271913,0.743,0.614,0.114495824859409,"Th17","NKAP"
7.54467114960166e-06,-0.166603789939212,1,1,0.116882045449629,"Th17","RPL34"
7.70366635591226e-06,-0.225625957736815,0.855,0.886,0.119345199185793,"Th17","CD48"
7.78951633722175e-06,0.228337769159309,0.628,0.527,0.120675187096239,"Th17","SMIM20"
7.92176318486742e-06,0.201905448413142,0.543,0.394,0.122723955259966,"Th17","SERINC1"
8.12318056807176e-06,-0.139424446870751,1,1,0.125844313360568,"Th17","RPL39"
8.209946604748e-06,-0.154647587662604,0.249,0.41,0.127188492800756,"Th17","MPHOSPH9"
8.23464749899837e-06,-0.195056950196111,0.383,0.573,0.127571159054483,"Th17","GATA3"
9.35706025677919e-06,0.233624284741208,0.803,0.726,0.144959577498023,"Th17","LPIN2"
9.4054652699253e-06,0.202047675301662,0.967,0.938,0.145709467961683,"Th17","JUNB"
9.52216366783039e-06,-0.270502068014436,0.955,0.982,0.147517359542028,"Th17","PTPRC"
9.88991309985168e-06,0.181331019316934,0.996,0.999,0.153214533742902,"Th17","CLIC1"
1.04643121019351e-05,0.253734264418077,0.87,0.793,0.162113123083178,"Th17","C19orf66"
1.04745972571975e-05,0.208269391595469,0.476,0.356,0.162272460708504,"Th17","VPS37A"
1.04749681364852e-05,0.208129355909613,0.491,0.346,0.162278206370428,"Th17","CD68"
1.18067961099782e-05,0.243529788166297,0.941,0.923,0.182910885335782,"Th17","REEP5"
1.2273672094619e-05,0.178357190991574,0.948,0.906,0.190143728089838,"Th17","TNFAIP8"
1.24032106860363e-05,0.252811020251144,0.911,0.818,0.192150539948074,"Th17","IFI44L"
1.29339313961486e-05,-0.119641441070823,0.186,0.342,0.200372465189134,"Th17","PDE3B"
1.39567551175484e-05,0.142383307555974,0.569,0.42,0.21621805028106,"Th17","DIXDC1"
1.44542964309827e-05,0.146406456714892,0.61,0.477,0.223925960308783,"Th17","UROD"
1.44994544258851e-05,0.104668487406085,0.342,0.209,0.224625547965811,"Th17","C17orf67"
1.46149361337977e-05,0.186203715246429,0.963,0.936,0.226414590584795,"Th17","CIB1"
1.50129407080557e-05,0.26616787466243,0.814,0.748,0.232580477449199,"Th17","ABI1"
1.51316020862836e-05,-0.680600890051377,0.119,0.25,0.234418779520705,"Th17","GZMA"
1.6139636765473e-05,-0.176459517044465,1,1,0.250035252770707,"Th17","EEF1A1"
1.62960718447255e-05,-0.196857940354619,0.561,0.674,0.252458745018487,"Th17","PPIH"
1.63167477531171e-05,-0.164083988638273,0.349,0.494,0.25277905619129,"Th17","XPOT"
1.72676938524707e-05,0.212054663836117,0.703,0.595,0.267511113162477,"Th17","SERPINB6"
1.74135853107657e-05,-0.164783157249366,0.138,0.269,0.269771263634383,"Th17","DHRS3"
1.74531004096725e-05,0.344302967746948,0.413,0.279,0.270383431546647,"Th17","NAPSA"
1.75428875133502e-05,0.106129245331002,0.193,0.094,0.271774413356821,"Th17","TMOD1"
1.80018536471697e-05,-0.196634059357994,1,1,0.278884716701953,"Th17","ALDOA"
1.83057317109147e-05,-0.335815244232386,0.844,0.91,0.28359239566549,"Th17","CD52"
1.83235227193765e-05,0.158612017638926,0.32,0.196,0.283868013968581,"Th17","FNBP1L"
1.83401108400435e-05,-0.193736535106287,0.77,0.865,0.284124997133954,"Th17","PRDX3"
1.84098612718552e-05,0.18750453644825,0.81,0.741,0.285205570823581,"Th17","SBDS"
1.87384649895371e-05,-0.519836285527025,0.569,0.67,0.290296299617909,"Th17","HIST1H1D"
1.87386652278243e-05,0.152289546284725,0.108,0.037,0.290299401709454,"Th17","PRG4"
1.91076023656344e-05,0.230881985005575,0.398,0.276,0.296014975848407,"Th17","FNIP2"
1.96190573462125e-05,-0.116699633329665,0.033,0.124,0.303938436407524,"Th17","CHRM3-AS2"
1.98030942430189e-05,-0.134575811000506,1,1,0.306789536012848,"Th17","RPL19"
2.0282092657137e-05,0.177275768457568,0.572,0.428,0.314210179444367,"Th17","ATP6V0A2"
2.12858583531535e-05,0.191285583174078,0.788,0.717,0.329760517607053,"Th17","NINJ1"
2.16794292197797e-05,-0.15200215858611,1,1,0.335857717472827,"Th17","RPL35A"
2.22722592567383e-05,0.115749509382708,0.297,0.171,0.345041840405389,"Th17","PPM1N"
2.39378790449828e-05,0.150020917959181,0.535,0.413,0.370845622164873,"Th17","STARD3"
2.43740185828426e-05,0.241651716372079,0.777,0.681,0.377602295885398,"Th17","LGALS9"
2.44994075360122e-05,0.168748202819363,0.914,0.876,0.379544821547901,"Th17","GNB2"
2.58411843199668e-05,0.218314732413136,0.784,0.674,0.400331627484926,"Th17","RAB27A"
2.59979469634443e-05,0.216347851094113,0.903,0.86,0.402760194357679,"Th17","HSPB11"
2.65322491321655e-05,0.193338475555779,0.706,0.595,0.411037603555508,"Th17","FAS"
2.71438892651294e-05,-0.419000410041713,0.654,0.725,0.420513132495385,"Th17","HIST1H1C"
2.7346472114024e-05,0.383662033793938,1,0.999,0.42365154599046,"Th17","MALAT1"
2.7429920241352e-05,0.284969387330148,0.625,0.503,0.424944324379025,"Th17","PDE4B"
2.85008924446454e-05,-0.221020628329949,1,1,0.441535825752447,"Th17","TMSB10"
2.85047515601917e-05,-0.20843816032584,0.104,0.22,0.441595611170489,"Th17","CYSLTR1"
2.91265068653571e-05,-0.187854239885661,0.346,0.494,0.451227844358112,"Th17","CD38"
3.03903965821839e-05,0.190808054935659,0.758,0.648,0.470808023851193,"Th17","NAPA"
3.2613115017823e-05,-0.135381669174557,0.1,0.216,0.505242377856113,"Th17","HSBP1L1"
3.34290781000338e-05,-0.161469330802628,0.312,0.447,0.517883277925724,"Th17","MOB3A"
3.56097419875766e-05,-0.194912567161628,1,1,0.551666122871536,"Th17","RPL7A"
3.63841640255191e-05,0.124599664844901,0.338,0.218,0.563663469083342,"Th17","ATP5EP2"
3.64804634693316e-05,0.14951396512583,0.498,0.376,0.565155340066886,"Th17","TRMT6"
3.68969594954644e-05,-0.209688922948624,0.833,0.892,0.571607696503735,"Th17","RBM17"
3.81393913555277e-05,-0.208986278502537,0.725,0.792,0.590855450879834,"Th17","EPRS"
3.81960229311878e-05,0.188652989921569,0.974,0.951,0.591732787249962,"Th17","CHMP5"
3.83290940343038e-05,0.18284484523451,0.625,0.523,0.593794324779435,"Th17","ANXA4"
3.84983459929796e-05,0.264729376080395,0.565,0.442,0.59641637612324,"Th17","RAB9A"
3.85591597393188e-05,0.173816391678234,0.989,0.958,0.597358502681527,"Th17","SRGN"
4.02370920033018e-05,-0.15119577449765,1,1,0.623353029315151,"Th17","RPL13"
4.07071792955505e-05,0.214374994271082,0.766,0.677,0.630635621646668,"Th17","KDSR"
4.098491575258e-05,0.142677054858392,0.781,0.706,0.634938314838969,"Th17","CCDC53"
4.11458293225135e-05,0.109904300762226,0.312,0.193,0.637431187864379,"Th17","PNMA1"
4.15905481862022e-05,-0.18724268927991,0.773,0.856,0.644320772500645,"Th17","DDX18"
4.24863047013823e-05,0.231007917192285,0.721,0.636,0.658197832433815,"Th17","CARD19"
4.38729028744084e-05,-0.149186551333275,0.138,0.254,0.679679011330334,"Th17","DZIP3"
4.42479895123246e-05,0.131208430532597,0.271,0.167,0.685489853524933,"Th17","CYB5R1"
4.53051758426659e-05,0.113143615863396,0.39,0.256,0.70186778415458,"Th17","FOSL2"
4.64201173884198e-05,0.219799418507357,0.948,0.925,0.719140458581399,"Th17","PSMA2"
4.7456856976688e-05,-0.220524088406083,0.929,0.951,0.735201628282851,"Th17","LCP1"
5.0581959604769e-05,0.190340321358758,0.729,0.629,0.783615718197081,"Th17","RNF187"
5.08990780411933e-05,-0.21213699588816,0.599,0.709,0.788528517014167,"Th17","MAD2L1"
5.23153271126915e-05,-0.121684977113702,0.223,0.372,0.810469047629817,"Th17","GNPTAB"
5.27096326863087e-05,-0.116415927905526,1,1,0.816577629576294,"Th17","RPL24"
5.29675229278133e-05,-0.17330705622891,0.349,0.48,0.820572865197683,"Th17","ITGAL"
5.29785696427125e-05,0.22730747248765,0.914,0.907,0.820744000904902,"Th17","SERPINB1"
5.31563101378066e-05,0.110527917976864,0.167,0.079,0.823497556654899,"Th17","ITGA2"
5.38141734435375e-05,-0.188736548668134,0.77,0.863,0.833689174987283,"Th17","OSTC"
5.40066917116332e-05,0.139947455465167,0.584,0.453,0.836671667996622,"Th17","TACO1"
5.40757169181289e-05,-0.18960998340521,0.68,0.793,0.837741006495653,"Th17","WIPF1"
5.52725137827344e-05,0.182619462463478,0.584,0.453,0.856281783522121,"Th17","KCNN4"
5.55559750963212e-05,-0.180102144857699,0.985,0.99,0.860673166192208,"Th17","EIF3E"
5.57612470096512e-05,-0.116908407567919,1,1,0.863853238673517,"Th17","RPS15A"
5.6003052336076e-05,0.20131143679226,0.959,0.966,0.867599286790489,"Th17","EMP3"
5.84163662313532e-05,0.169053200175952,0.45,0.331,0.904986345656124,"Th17","F8A1"
5.88184486957925e-05,0.243120083757284,0.803,0.739,0.911215407195217,"Th17","TMEM243"
