"","group_iTreg","group_Th17","group_Th2","group_Th0"
"DUSP4",1.18936841352435,-0.229693085091909,-1.40806540966131,-0.779526666587216
"BHLHE40",1.05132627591684,-0.500450774790447,-1.14967446712593,NA
"DHRS3",0.698535070626811,-0.577916292259422,-0.300410803097046,NA
"LDHA",0.52912970333179,-0.328286781182712,-0.230475735132617,-0.196558416403894
"DNAJC12",0.912572674218343,NA,-1.1229048003346,-0.78617481583022
"MT-CYB",-0.873510297864711,0.160345550599135,0.505532804694052,0.389959544798499
"MT-ATP6",-0.813645435205829,-0.1191921215521,0.658505382600997,0.527729102784464
"CTLA4",0.71754959084689,-0.441826146354824,-0.348369245184863,-0.271382966998084
"BATF3",-0.838736531499168,0.258185866401307,0.865746220001885,-0.547927575591287
"ANKRD37",0.656026416183104,NA,-0.741424545493256,-0.428089411693884
"GAPDH",0.427420935034979,NA,-0.595061264250154,NA
"SATB1",-0.72305209310898,-0.130486461311639,0.77530470846069,0.248408853058478
"GSTO1",0.565708472194878,NA,-0.579499427073134,-0.567837944953594
"VIM",0.719429196843527,0.113136701204999,-1.3442970870989,-0.322347421392911
"CYTIP",0.643797518281404,-0.175136355741148,-0.79744460501699,NA
"LAPTM5",0.529716979463222,-0.169050621715006,-0.50292498998059,-0.142530327652174
"IVNS1ABP",0.732388872681972,0.103102237086669,-1.03781625061343,-0.654059021564976
"MT-CO2",-0.632697095204636,0.264833174320043,0.24890841128622,0.246523946984619
"OXNAD1",0.512007111422441,-0.497226854995777,-0.449644267846522,0.370563504199601
"RNF213",-0.688225411979293,0.320358287202559,0.240157068269085,0.239809132061584
"RGS1",0.687129150449627,-0.372196347521181,-0.612686932996319,NA
"AC092580.4",-0.68752763532846,-0.710910504854517,1.1302708625301,0.438425026841821
"MT-CO3",-0.668740358881406,0.151424605781667,0.421561507280041,0.250451538465611
"CCL5",0.430553695645039,0.236439457195508,-1.13366613146373,NA
"PMEPA1",0.280162926463375,NA,-0.238090338064905,-0.223357175752247
"HILPDA",0.508055938730187,-0.488399797517072,0.242003754304593,-0.65288116042766
"RDX",0.674934216961492,NA,-0.814501280401704,-0.501747506248266
"FDX1",0.648012466906303,-0.301857972696098,-0.41280452716393,-0.282186971785169
"FOXP3",0.32210251477433,-0.137483109425968,-0.184361538103477,-0.153147871551427
"HOPX",-0.635266432519776,0.478618746208988,0.182281727039937,NA
"PGM2L1",0.534110920944796,-0.197494597347327,-0.256784620474114,-0.44292515929196
"GNPTAB",0.549964422075777,-0.397761268722039,-0.209719313875749,-0.145117873432285
"SAMSN1",0.628591220379122,-0.435396578770021,-0.539445979226372,0.150020257467772
"MT-ND3",-0.588304429214301,0.619994552189396,-0.190079471966678,NA
"EVI2A",0.508187427350483,-0.131205786021848,-0.400644153914913,-0.303561549650863
"MRPS26",-0.836839108259723,-0.391171934273855,1.49302989299073,-0.645160982411596
"UBE2B",0.48275005906101,-0.202372707374582,-0.316234230928342,-0.211453042216241
