"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
5.77931860745322e-50,1.18936841352435,0.933,0.652,8.863740948251e-46,"iTreg","DUSP4"
4.7330596821927e-45,1.05132627591684,0.974,0.771,7.25909363457895e-41,"iTreg","BHLHE40"
3.96187737222444e-37,0.698535070626811,0.739,0.394,6.07633132578063e-33,"iTreg","DHRS3"
1.03267922648843e-34,0.52912970333179,1,0.995,1.58382012966531e-30,"iTreg","LDHA"
1.61665751484972e-32,0.912572674218343,0.716,0.377,2.47946763052502e-28,"iTreg","DNAJC12"
1.74283993668706e-30,-0.873510297864711,0.968,0.986,2.67299361089694e-26,"iTreg","MT-CYB"
2.20518451273063e-29,-0.813645435205829,0.983,0.994,3.38209148717497e-25,"iTreg","MT-ATP6"
8.30706579240549e-29,0.71754959084689,0.684,0.383,1.27405468058123e-24,"iTreg","CTLA4"
1.53915010485731e-28,-0.838736531499168,0.081,0.408,2.36059451581966e-24,"iTreg","BATF3"
1.61382116934786e-28,0.656026416183104,0.858,0.612,2.47511752742882e-24,"iTreg","ANKRD37"
2.86488248382188e-28,0.427420935034979,1,1,4.39387026543762e-24,"iTreg","GAPDH"
2.7567243099641e-27,-0.72305209310898,0.435,0.74,4.22798807419194e-23,"iTreg","SATB1"
4.44504975314513e-27,0.565708472194878,0.988,0.965,6.81737280639868e-23,"iTreg","GSTO1"
6.90575511723214e-27,0.719429196843527,0.997,0.956,1.05913566232989e-22,"iTreg","VIM"
9.80380537862588e-27,0.643797518281404,0.994,0.963,1.50360963091985e-22,"iTreg","CYTIP"
1.63143587932964e-26,0.529716979463222,0.98,0.928,2.50213320812786e-22,"iTreg","LAPTM5"
3.99608354516363e-26,0.732388872681972,0.872,0.684,6.12879333321746e-22,"iTreg","IVNS1ABP"
1.37700705856082e-25,-0.632697095204636,1,0.995,2.11191572571473e-21,"iTreg","MT-CO2"
8.90334997975537e-25,0.512007111422441,0.699,0.414,1.36550678639508e-20,"iTreg","OXNAD1"
1.27950350727638e-23,-0.688225411979293,0.681,0.858,1.96237452910979e-19,"iTreg","RNF213"
2.60502894104939e-23,0.687129150449627,0.672,0.379,3.99533288688746e-19,"iTreg","RGS1"
7.50356720974818e-23,-0.68752763532846,0.052,0.322,1.15082210295908e-18,"iTreg","AC092580.4"
9.75871362856582e-23,-0.668740358881406,0.997,0.997,1.49669390921314e-18,"iTreg","MT-CO3"
1.8508484329238e-22,0.430553695645039,0.71,0.456,2.83864624157523e-18,"iTreg","CCL5"
2.47935835513674e-22,0.280162926463375,0.371,0.115,3.80259190927321e-18,"iTreg","PMEPA1"
5.36779068065487e-22,0.508055938730187,0.971,0.824,8.23258056692038e-18,"iTreg","HILPDA"
6.37302087233222e-22,0.674934216961492,0.884,0.776,9.77430211189593e-18,"iTreg","RDX"
6.71442667399261e-22,0.648012466906303,0.8,0.658,1.02979161899025e-17,"iTreg","FDX1"
1.27608312911608e-21,0.32210251477433,0.313,0.084,1.95712869512533e-17,"iTreg","FOXP3"
9.73603984375274e-21,-0.635266432519776,0.128,0.406,1.49321643083636e-16,"iTreg","HOPX"
9.94273597111755e-21,0.534110920944796,0.661,0.42,1.5249174158903e-16,"iTreg","PGM2L1"
1.05144021837629e-20,0.549964422075777,0.757,0.544,1.61259386292371e-16,"iTreg","GNPTAB"
1.77934554803256e-20,0.628591220379122,0.841,0.701,2.72898226701754e-16,"iTreg","SAMSN1"
2.93346285045249e-20,-0.588304429214301,0.974,0.988,4.49905197373899e-16,"iTreg","MT-ND3"
3.29202819390239e-20,0.508187427350483,0.864,0.701,5.04898364098809e-16,"iTreg","EVI2A"
3.73129590350438e-20,-0.836839108259723,0.632,0.806,5.72268852720466e-16,"iTreg","MRPS26"
6.13994253138907e-20,0.48275005906101,0.939,0.873,9.41682986039142e-16,"iTreg","UBE2B"
6.97364669547861e-20,0.403628634746984,0.997,0.988,1.06954819368555e-15,"iTreg","MIF"
1.54313311079017e-19,0.47376820155489,0.942,0.896,2.36670325201888e-15,"iTreg","OCIAD2"
2.97260792062141e-19,0.467354696520799,0.861,0.682,4.55908876785705e-15,"iTreg","ENO2"
6.08270504830549e-19,0.491220580483411,0.962,0.901,9.32904473258612e-15,"iTreg","LAT"
1.42062296972108e-18,0.430629985728507,0.89,0.76,2.17880944866122e-14,"iTreg","RALA"
1.72937351933263e-18,0.457376716495397,0.957,0.855,2.65234016660045e-14,"iTreg","RHOG"
7.26549901543527e-18,0.465327554128841,1,0.982,1.11430958399731e-13,"iTreg","BTG1"
1.65775515371186e-17,0.293550461998934,0.458,0.211,2.54249907924789e-13,"iTreg","PPFIBP1"
1.89778615515193e-17,0.492680518296698,0.617,0.363,2.91063462615651e-13,"iTreg","APOBEC3H"
2.11680372979659e-17,-0.553303389951038,0.945,0.969,3.24654188038903e-13,"iTreg","MT-ND5"
3.36964210914689e-17,0.471153853088676,0.922,0.765,5.16802010279858e-13,"iTreg","SLC2A3"
3.37150630713226e-17,0.358717346081193,0.951,0.87,5.17087922324875e-13,"iTreg","WDR54"
3.49800316682131e-17,0.445980496384648,0.968,0.902,5.36488745695384e-13,"iTreg","BNIP3L"
3.753788573361e-17,0.506583659859983,0.78,0.614,5.75718553496377e-13,"iTreg","NR3C1"
1.58963427058764e-16,0.355487337304843,0.461,0.247,2.43802208080026e-12,"iTreg","PHTF2"
2.75377853721154e-16,0.483390177513543,0.907,0.815,4.22347014252133e-12,"iTreg","WSB1"
3.22332581428042e-16,0.427127793649121,0.954,0.882,4.94361480136188e-12,"iTreg","PPP1R2"
3.4180038833173e-16,0.459127479896601,0.667,0.438,5.24219255584374e-12,"iTreg","BEND5"
3.75372839080268e-16,0.39743167096464,0.933,0.878,5.75709323297407e-12,"iTreg","PNRC1"
6.27069035475522e-16,-0.552311439305729,0.252,0.511,9.61735779708808e-12,"iTreg","HERC5"
8.6628474843687e-16,0.423628137784505,0.635,0.426,1.32862091867763e-11,"iTreg","LST1"
1.0208566537626e-15,0.312263221664565,0.272,0.089,1.5656878498757e-11,"iTreg","GEM"
1.0906728931141e-15,0.797007316600389,0.223,0.056,1.6727650161691e-11,"iTreg","APOD"
1.65992879691788e-15,0.492435635311101,0.843,0.727,2.54583279583296e-11,"iTreg","LINC00152"
1.87856543547465e-15,-0.539520004746943,0.414,0.65,2.88115580838747e-11,"iTreg","MAL"
2.70805907699877e-15,0.371226478754928,0.997,0.973,4.15335020639302e-11,"iTreg","RGS10"
